word,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
aback,0,0,0,0,0,0,0,0,0,0
abacus,0,0,0,0,0,0,0,0,0,1
abandon,0,1,0,0,0,1,0,1,0,0
abandoned,0,1,1,0,0,1,0,1,0,0
abandonment,0,1,1,0,0,1,0,1,1,0
abate,0,0,0,0,0,0,0,0,0,0
abatement,0,0,0,0,0,0,0,0,0,0
abba,1,0,0,0,0,0,0,0,0,0
abbot,0,0,0,0,0,0,0,0,0,1
abbreviate,0,0,0,0,0,0,0,0,0,0
abbreviation,0,0,0,0,0,0,0,0,0,0
abdomen,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,0,0
abduction,0,1,0,0,0,1,0,1,1,0
aberrant,0,1,0,0,0,0,0,0,0,0
aberration,0,1,0,0,1,0,0,0,0,0
abeyance,0,0,0,0,0,0,0,0,0,0
abhor,0,1,1,0,1,1,0,0,0,0
abhorrent,0,1,1,0,1,1,0,0,0,0
abide,0,0,0,0,0,0,0,0,0,0
ability,1,0,0,0,0,0,0,0,0,0
abject,0,1,0,0,1,0,0,0,0,0
ablation,0,0,0,0,0,0,0,0,0,0
ablaze,0,0,0,0,0,0,0,0,0,0
abnormal,0,1,0,0,1,0,0,0,0,0
aboard,0,0,0,0,0,0,0,0,0,0
abode,0,0,0,0,0,0,0,0,0,0
abolish,0,1,1,0,0,0,0,0,0,0
abolition,0,1,0,0,0,0,0,0,0,0
abominable,0,1,0,0,1,1,0,0,0,0
abomination,0,1,1,0,1,1,0,0,0,0
aboriginal,0,0,0,0,0,0,0,0,0,0
abort,0,1,0,0,0,0,0,0,0,0
abortion,0,1,0,0,1,1,0,1,0,0
abortive,0,1,0,0,0,0,0,1,0,0
abound,0,0,0,0,0,0,0,0,0,0
abovementioned,1,0,0,0,0,0,0,0,0,0
abrasion,0,1,0,0,0,0,0,0,0,0
abroad,0,0,0,0,0,0,0,0,0,0
abrogate,0,1,0,0,0,0,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,1,0
abruptly,0,0,0,0,0,0,0,0,0,0
abscess,0,1,0,0,0,0,0,1,0,0
absence,0,1,0,0,0,1,0,1,0,0
absent,0,1,0,0,0,0,0,1,0,0
absentee,0,1,0,0,0,0,0,1,0,0
absenteeism,0,1,0,0,0,0,0,0,0,0
absinthe,0,0,0,0,0,0,0,0,0,0
absolute,1,0,0,0,0,0,0,0,0,0
absolution,1,0,0,0,0,0,1,0,0,1
absorbed,1,0,0,0,0,0,0,0,0,0
absorbent,0,0,0,0,0,0,0,0,0,0
absorbing,0,0,0,0,0,0,0,0,0,0
absorption,0,0,0,0,0,0,0,0,0,0
abstain,0,0,0,0,0,0,0,0,0,0
